% positionObs.txt
% 
% This file contains position observations taken from within the stage simulation.  The
% observations are decimated and Gaussian noise with standard deviation of 0.5m has been
% added to the true position.
%
% time(s) time(micro-seconds) X(m) Y(m)
%
1115116184 519817 3.328040 3.279088
1115116185 347831 3.549287 3.444845
1115116186 166595 3.745883 4.197424
1115116186 980443 4.094209 2.801549
1115116187 807598 4.918661 3.382620
1115116188 622253 4.038001 3.713549
1115116189 447617 3.777330 3.989077
1115116190 268787 4.238621 3.086361
1115116191 80815 3.383442 3.523852
1115116191 906832 3.934820 3.639925
1115116192 721646 4.205909 3.607272
1115116193 546493 3.835088 3.761812
1115116194 366350 3.899002 3.524019
1115116195 186201 4.077772 3.227612
1115116196 5752 4.293559 3.377589
1115116196 817948 5.081839 3.571067
1115116197 645538 5.401474 4.240606
1115116198 465438 4.911482 3.764439
1115116199 277548 4.038809 3.599370
1115116200 105277 5.062523 3.730094
1115116200 921436 4.755478 3.846316
1115116201 745462 4.672923 4.536367
1115116202 564819 5.697570 3.819289
1115116203 385665 5.789013 4.514364
1115116204 204981 5.709125 4.024484
1115116205 17769 5.865952 4.394736
1115116205 846697 5.845813 4.437437
1115116206 666556 5.583901 5.215292
1115116207 479509 5.882902 4.058963
1115116208 304616 6.280106 4.292664
1115116209 116267 6.804295 5.178003
1115116209 946290 7.215544 5.699890
1115116210 765943 7.329717 5.588125
1115116211 581051 6.652556 5.683868
1115116212 405695 7.649002 6.807354
1115116213 218527 7.507438 6.032181
1115116214 43185 7.985402 7.025769
1115116214 862886 6.935907 7.856397
1115116215 683002 7.091672 7.353029
1115116216 502748 6.788252 6.819300
1115116217 314910 7.448849 8.384968
1115116218 144840 7.687187 6.641741
1115116218 958707 7.451276 7.097225
1115116219 782265 8.652895 7.267208
1115116220 602068 7.260845 7.375914
1115116221 414169 7.575744 6.708218
1115116222 242022 6.370591 7.069632
1115116223 61512 6.997991 5.954341
1115116223 881710 6.219803 6.989806
1115116224 701638 6.944024 6.765911
1115116225 513738 6.152928 6.509549
1115116226 343573 6.287684 8.114836
1115116227 161071 5.985818 8.503250
1115116227 978239 6.165601 8.091106
1115116228 800601 6.503621 7.606155
1115116229 613395 6.574188 9.520616
1115116230 645274 5.701520 8.268944
1115116231 668661 4.872603 9.031065
1115116232 694919 4.895652 8.550020
1115116233 719938 4.071246 9.260096
1115116234 738178 3.639305 8.712181
1115116235 769650 3.065215 8.237752
1115116236 792881 2.474935 8.437081
1115116237 812768 3.053353 8.268427
1115116238 844337 3.081074 8.952507
1115116239 869831 2.507073 8.516955
1115116240 894541 2.067938 8.238959
1115116241 919568 1.762021 7.611578
1115116242 944045 1.164777 7.320945
1115116243 969087 2.076040 7.914561
1115116244 993665 0.698012 8.191092
1115116246 18594 -0.238198 6.964798
1115116247 37314 -0.027406 6.672921
1115116248 67755 -0.507787 8.128134
1115116249 92663 -0.632747 7.298939
1115116250 117637 -1.117085 6.849001
1115116251 144816 -1.694144 6.630581
1115116252 167623 -2.490878 7.874859
1115116253 192887 -2.196760 8.015082
1115116254 217986 -3.095966 8.134461
1115116255 242813 -2.719888 7.556584
1115116256 261191 -2.568143 7.277629
1115116257 291376 -2.187199 8.302022
1115116258 308579 -3.462116 7.858735
1115116259 340859 -3.866737 6.346677
1115116260 366726 -3.895707 7.205784
1115116261 390951 -4.489608 8.407051
1115116262 415711 -4.203456 6.789421
1115116263 438950 -5.075026 7.181963
1115116264 467497 -5.002633 6.797836
1115116265 487517 -5.462813 7.568277
1115116266 515264 -5.565634 6.497459
1115116267 536312 -5.543585 6.696090
1115116268 565034 -4.899800 6.003063
1115116269 590207 -5.279230 5.982338
1115116270 615180 -6.207844 6.315337
1115116271 639966 -4.340319 5.543457
1115116272 662530 -4.878962 5.171196
1115116273 687352 -5.902385 4.327754
1115116274 714406 -5.225554 3.667957
1115116275 734039 -4.830156 4.201965
1115116276 764138 -5.197807 3.877896
1115116277 789871 -4.737178 3.421871
1115116278 809778 -4.377615 1.946213
1115116279 840640 -3.893269 2.850263
1115116280 863664 -4.975411 2.250699
1115116281 888623 -4.652285 2.377746
1115116282 708830 -4.348686 1.519830
1115116283 528555 -3.831607 1.246860
1115116284 349759 -3.123580 0.557470
1115116285 168053 -2.704863 0.096575
1115116285 987986 -3.175332 0.263361
1115116286 808474 -2.992010 0.951057
1115116287 622354 -3.300404 0.953263
1115116288 447991 -3.092929 -0.765807
1115116289 268025 -3.241066 -0.034371
1115116290 88259 -2.379375 -0.345404
1115116290 907804 -1.781213 -0.360702
1115116291 727530 -1.523024 -0.063595
1115116292 547843 -2.111098 -0.992549
1115116293 361552 -1.664436 -0.981286
1115116294 188262 -1.260636 -0.301521
1115116295 7207 -1.660274 -0.236125
